num_channels,max_accuracy,best_channels
1,0.7688,[14]
2,0.7684,"[14, 20]"
3,0.7584,"[14, 21, 28]"
4,0.7642,"[11, 12, 14, 20]"
5,0.7582,"[14, 18, 19, 23, 24]"
6,0.7597,"[5, 11, 14, 20, 26, 29]"
7,0.7639,"[14, 21, 22, 24, 26, 29, 30]"
8,0.7630,"[11, 14, 18, 20, 21, 25, 28, 29]"
9,0.7404,"[5, 13, 14, 18, 20, 21, 22, 29, 30]"
10,0.7331,"[6, 11, 14, 15, 18, 19, 20, 21, 25, 30]"
11,0.7360,"[8, 10, 13, 14, 18, 22, 23, 24, 25, 26, 30]"
12,0.7624,"[4, 11, 14, 18, 19, 22, 23, 25, 26, 27, 28, 30]"
13,0.7283,"[4, 10, 11, 13, 14, 16, 17, 18, 19, 26, 27, 28, 31]"
14,0.7190,"[4, 5, 10, 11, 14, 16, 17, 18, 20, 22, 25, 26, 28, 31]"
15,0.7132,"[0, 2, 5, 7, 8, 9, 11, 14, 15, 16, 20, 23, 25, 26, 30]"
16,0.7216,"[0, 4, 8, 9, 11, 12, 13, 14, 17, 20, 21, 22, 23, 25, 26, 30]"
17,0.7165,"[0, 2, 3, 8, 9, 10, 11, 12, 14, 16, 18, 20, 22, 23, 25, 26, 29]"
18,0.7126,"[0, 1, 4, 5, 8, 9, 10, 12, 14, 15, 16, 18, 21, 24, 25, 26, 27, 29]"
19,0.7148,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 14, 16, 18, 22, 24, 25, 26, 28, 29]"
20,0.7187,"[0, 1, 3, 5, 6, 8, 9, 10, 13, 14, 16, 17, 20, 21, 22, 23, 24, 26, 29, 30]"
21,0.7169,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 18, 20, 23, 24, 25, 26, 28, 29]"
22,0.7029,"[0, 2, 3, 4, 5, 8, 9, 11, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31]"
23,0.7186,"[0, 1, 5, 8, 9, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]"
24,0.7112,"[0, 1, 3, 5, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 31]"
25,0.7054,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
26,0.7085,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
27,0.7023,"[0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31]"
28,0.7068,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
29,0.6922,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
30,0.6967,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
31,0.6856,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
32,0.6466,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
